date,ventes,depenses,tresorerie,dettes,stock
2026-01-01,12000,9500,2500,7000,5000
2026-02-01,13500,10100,3900,6800,5200
2026-03-01,12800,10400,4300,6500,5100
2026-04-01,14200,11300,5100,6200,5600
2026-05-01,15000,12100,6100,6000,5800
2026-06-01,14700,11900,7000,5800,6100
2026-07-01,16100,13300,7600,5500,6200
2026-08-01,15800,13700,8000,5200,6500
2026-09-01,17200,14500,9200,5000,6700
2026-10-01,18000,15100,10400,4700,6900
2026-11-01,17600,15300,11000,4300,7100
2026-12-01,19500,16200,13000,4000,7300
